teamId,abbrevName,fullName,teamName,location
730261504,STET,Stetson University,Hatters,Stetson
730238464,SC,Stonehill College,Stonehill,Stonehill
730249984,STON,Stony Brook University,Seawolves,Stony Brook
730236416,TAR,Tarleton State University,Tarleton State,Tarleton State
730166272,TNTC,Tennessee Technological University,Golden Eagles,Tennessee Tech
3032,TXAM,Texas A&M University,Aggies,Texas A&M
4764,AMCC,Texas A&M-Corpus Christi,Islanders,Texas A&M-Corpus Christi
5045,TCU,Texas Christian University,Horned Frogs,TCU
4768,TXSO,Texas Southern University,Tigers,Texas Southern
5420,TXST,Texas State University,Bobcats,Texas State
2350,TTU,Texas Tech University,Red Raiders,Texas Tech
730366720,CIT,The Citadel,Bulldogs,The Citadel
4144,OSU,The Ohio State University,Buckeyes,Ohio State
730246656,USM,The University of Southern Mississippi,Golden Eagles,Southern Miss
730318336,TOWS,Towson University,Tigers,Towson
730378496,TROY,Troy University,Trojans,Troy
730354176,TULN,Tulane University,Green Wave,Tulane
508,NAVY,U.S. Naval Academy,Midshipmen,Navy
730345984,UAB,UAB,Blazers,UAB
730153984,UCD,UC Davis,Aggies,UC Davis
3031,UCI,UC Irvine,Anteaters,UC Irvine
730281728,UCRV,UC Riverside,Highlanders,UC Riverside
730348032,UCSD,UC San Diego,Tritons,UC San Diego
730364160,UCSB,UC Santa Barbara,Gauchos,UC Santa Barbara
5048,UCLA,UCLA,Bruins,UCLA
730371584,MASSL,UMass Lowell,River Hawks,UMass Lowell
730210304,UMBC,UMBC,Retrievers,UMBC
1570,UNCA,UNC Asheville,Bulldogs,UNC Asheville
730214400,CHAR,UNC Charlotte,49ers,Charlotte
730238720,UNCG,UNC Greensboro,Spartans,UNC Greensboro
730229504,UNCW,UNC Wilmington,Seahawks,UNC Wilmington
730280448,ALBY,University at Albany,Great Danes,Albany
540536064,AKR,University of Akron,Zips,Akron
730206976,ALA,University of Alabama,Crimson Tide,Alabama
232,ARIZ,University of Arizona,Wildcats,Arizona
3375,ARK,University of Arkansas,Razorbacks,Arkansas
5377,ARPB,University of Arkansas-Pine Bluff,Golden Lions,Arkansas-Pine Bluff
730152448,CAL,University of California,Golden Bears,California
730175232,CARK,University of Central Arkansas,Bears,Central Arkansas
730256640,UCF,University of Central Florida,Knights,Central Florida
5465,CIN,University of Cincinnati,Bearcats,Cincinnati
5486,CONN,University of Connecticut,Huskies,Connecticut
730194688,DAY,University of Dayton,Flyers,Dayton
730203136,DEL,University of Delaware,Fightin Blue Hens,Delaware
730327808,EVAN,University of Evansville,Purple Aces,Evansville
730168320,FLA,University of Florida,Gators,Florida
226,UGA,University of Georgia,Bulldogs,Georgia
730158848,HAW,"University of Hawaii, Manoa",Warriors,Hawaii
3030,HOU,University of Houston,Cougars,Houston
730163456,ILL,University of Illinois,Fighting Illini,Illinois
5379,UIC,University of Illinois-Chicago,Flames,Illinois-Chicago
1232,IOWA,University of Iowa,Hawkeyes,Iowa
730360064,KU,University of Kansas,Jayhawks,Kansas
5362,UK,University of Kentucky,Wildcats,Kentucky
5075,ULL,University of Louisiana at Lafayette,Ragin' Cajuns,Louisiana
730362880,ULM,University of Louisiana at Monroe,Warhawks,UL Monroe
5467,LOU,University of Louisville,Cardinals,Louisville
730275840,ME,University of Maine,Black Bears,Maine
730289152,UMES,University of Maryland Eastern Shore,Hawks,Maryland Eastern Shore
730172928,MD,University of Maryland-College Park,Terrapins,Maryland
5451,MASS,University of Massachusetts,Minutemen,UMass
730172160,MEM,University of Memphis,Tigers,Memphis
236,MIA,University of Miami,Hurricanes,Miami
2290,MICH,University of Michigan,Wolverines,Michigan
4864,MINN,University of Minnesota,Golden Gophers,Minnesota
5322,MISS,University of Mississippi,Rebels,Ole Miss
4806,MIZZ,University of Missouri,Tigers,Missouri
4865,NEB,University of Nebraska,Cornhuskers,Nebraska
730235648,NEOM,University of Nebraska-Omaha,Mavericks,Omaha
4784,NEV,University of Nevada,Wolf Pack,Nevada
730153472,UNM,University of New Mexico,Lobos,New Mexico
5380,UNO,University of New Orleans,Privateers,New Orleans
730266624,UNA,University of North Alabama,Lions,North Alabama
730181888,UNC,University of North Carolina,Tar Heels,North Carolina
730296832,UNF,University of North Florida,Ospreys,North Florida
730286592,UNCO,University of Northern Colorado,Bears,Northern Colorado
225,ND,University of Notre Dame,Fighting Irish,Notre Dame
730294528,OKLA,University of Oklahoma,Sooners,Oklahoma
4807,ORE,University of Oregon,Ducks,Oregon
730292224,PENN,University of Pennsylvania,Quakers,Pennsylvania
5424,PITT,University of Pittsburgh,Panthers,Pittsburgh
730360320,PORT,University of Portland,Pilots,Portland
730163712,URI,University of Rhode Island,Rams,Rhode Island
730171904,RICH,University of Richmond,Spiders,Richmond
5320,USD,University of San Diego,Toreros,San Diego
730365696,SF,University of San Francisco,Dons,San Francisco
730298880,USA,University of South Alabama,Jaguars,South Alabama
730348544,SCAR,University of South Carolina,Gamecocks,South Carolina
730317312,SCUS,University of South Carolina Upstate,Spartans,South Carolina Upstate
2292,USF,University of South Florida,Bulls,South Florida
5047,USC,University of Southern California,Trojans,USC
730288640,SIND,University of Southern Indiana,Screaming Eagles,Southern Indiana
730200320,UOST,University of St. Thomas (Minn.),Tommies,University of St. Thomas (Minn.)
730153728,TENN,University of Tennessee,Volunteers,Tennessee
730238976,UTM,University of Tennessee at Martin,Skyhawks,UT Martin
245,TEX,University of Texas,Longhorns,Texas
730192128,UTRGV,University of Texas Rio Grande Valley,Vaqueros,UT Rio Grande Valley
5324,UTA,University of Texas-Arlington,Mavericks,UT Arlington
730225152,IW,University of the Incarnate Word,Cardinals,Incarnate Word
730386944,PAC,University of the Pacific,Tigers,Pacific
5388,TOL,University of Toledo,Rockets,Toledo
730328320,UTAH,University of Utah,Utes,Utah
5415,UVA,University of Virginia,Cavaliers,Virginia
3110,WASH,University of Washington,Huskies,Washington
730308864,UOWG,University of West Georgia,Wolves,West Georgia
5036,MILW,University of Wisconsin-Milwaukee,Panthers,Milwaukee
730161664,UNLV,UNLV,Rebels,UNLV
730318592,UTU,Utah Tech University,Trailblazers,Utah Tech
730263552,UVU,Utah Valley University,Wolverines,Utah Valley
730373120,UTSA,UTSA,Roadrunners,UTSA
730369536,VALP,Valparaiso University,Crusaders,Valparaiso
5046,VAN,Vanderbilt University,Commodores,Vanderbilt
730278400,VILL,Villanova University,Wildcats,Villanova
730179328,VCU,Virginia Commonwealth University,Rams,VCU
730173440,VMI,Virginia Military Institute,Keydets,VMI
2293,VT,Virginia Tech,Hokies,Virginia Tech
730192640,WAG,Wagner College,Seahawks,Wagner
730373376,WAKE,Wake Forest University,Demon Deacons,Wake Forest
4505,WSU,Washington State University,Cougars,Washington State
5327,WVU,West Virginia University,Mountaineers,West Virginia
730278144,WCU,Western Carolina University,Catamounts,Western Carolina
730370560,WIU,Western Illinois University,Leathernecks,Western Illinois
730212096,WKU,Western Kentucky University,Hilltoppers,Western Kentucky
730165248,WMU,Western Michigan University,Broncos,Western Michigan
730203904,WICH,Wichita State University,Shockers,Wichita State
730294784,WIN,Winthrop University,Eagles,Winthrop
730176512,WOF,Wofford College,Terriers,Wofford
5390,WRST,Wright State University,Raiders,Wright State
5464,XAV,Xavier University,Musketeers,Xavier
730334464,YALE,Yale University,Bulldogs,Yale
730284544,YSU,Youngstown State University,Penguins,Youngstown State
